id,kind,name,lat,lng,alias_count
geonames:11777305,city,甘地,34.99147,134.75852,2
geonames:11777400,city,塩入,34.15607,133.8515,2
geonames:11777417,city,内子,33.54993,132.6471,2
geonames:11777452,city,引治,33.22912,131.17965,2
geonames:11777491,city,笈川,37.572,139.88797,2
geonames:11790342,ward,世田谷区,35.64188,139.64715,2
geonames:11790343,city,三鷹,35.68361,139.56002,2
geonames:11790353,ward,新宿区,35.69115,139.70854,2
geonames:11790365,ward,根津,35.71886,139.76467,2
geonames:11790367,ward,秋葉原,35.69848,139.77253,2
geonames:11790369,ward,台東区,35.70749,139.7788,2
geonames:11790374,ward,目黒区,35.6322,139.70174,2
geonames:11790488,ward,みなみ野,35.62594,139.31956,2
geonames:11790632,ward,文京,35.5331,139.4217,2
geonames:11791276,city,半田山,34.77497,137.73774,2
geonames:11791634,city,加佐登,34.89141,136.53049,2
geonames:11797573,city,かりべつ,45.24781,142.12642,2
geonames:11807473,ward,林間,35.49836,139.44886,2
geonames:11807499,ward,永田,34.6821,135.55674,2
geonames:11807988,ward,小路東,34.6588,135.55771,2
geonames:11808021,ward,渋谷区,35.6589,139.70665,2
geonames:11808338,ward,平安,35.1947,136.9307,2
geonames:11808455,ward,徳川,35.18656,136.92842,2
geonames:11809254,ward,宮代,36.02229,139.72951,2
geonames:11809256,ward,西所沢,35.78931,139.45854,2
geonames:11809770,ward,志免,33.58699,130.48676,2
geonames:11836117,ward,杉並,36.2013,140.28406,2
geonames:11837478,ward,天王台,35.87204,140.03988,2
geonames:11837657,ward,市川,35.73413,139.9065,2
geonames:11837950,city,阿賀野,37.83605,139.22332,2
geonames:12022193,ward,鬼怒川温泉,36.84352,139.71935,2
geonames:12253463,ward,大東町,34.71542,135.62012,2
geonames:13118912,city,嵐山町,36.05528,139.31503,2
geonames:13132737,city,Tobishima,35.07885,136.79108,1
geonames:13132738,city,Toyoyama,35.25048,136.91201,1
geonames:13132739,city,Ōguchi,35.34146,136.91108,1
geonames:13132740,city,Fusō,35.35782,136.90983,1
geonames:13132741,city,Kōta,34.87482,137.17086,1
geonames:13132743,city,Ōharu,35.17457,136.82014,1
geonames:13132744,city,Hirokawa,33.24293,130.55212,1
geonames:13132758,city,Tomika,35.48488,136.97983,1
geonames:13132759,city,Sakahogi,35.42666,136.98546,1
geonames:13132760,city,Wanouchi,35.28511,136.63744,1
geonames:13132761,city,Anpachi,35.33539,136.66541,1
geonames:13132762,city,Ginan,35.38834,136.78483,1
geonames:13132763,city,Itakura,36.22295,139.61027,1
geonames:13132764,city,Kumano,34.33284,132.56967,1
geonames:13132765,city,Fuchū,34.38793,132.51001,1
geonames:13132766,city,Kamisunagawa,43.48261,141.98408,1
geonames:13132767,city,鷹栖町,43.84336,142.35445,2
geonames:13132768,city,東川町,43.69898,142.51031,2
geonames:13132769,city,東神楽町,43.69663,142.45143,2
geonames:13132797,city,稲美町,34.74807,134.91284,2
geonames:13132798,city,丹波篠山市,35.07318,135.21781,2
geonames:13132799,city,丹波市,35.17483,135.03101,2
geonames:13132800,city,八千代町,36.18229,139.89096,2
geonames:13156691,city,宝達志水町,36.86278,136.79753,2
geonames:13156692,city,矢巾町,39.61114,141.14743,2
geonames:13156694,city,北川村,33.44769,134.04207,2
geonames:13156695,city,日高村,33.53489,133.37336,2
geonames:13156696,city,山江村,32.24674,130.76651,2
geonames:13156697,city,京丹波町,35.16436,135.42305,2
geonames:13156698,city,朝日町,35.03421,136.66436,2
geonames:13156699,city,東員町,35.09466,136.60062,2
geonames:13156700,city,椎葉村,32.46672,131.15754,2
geonames:13156701,city,売木村,35.27109,137.71112,2
geonames:13156702,city,泰阜村,35.37753,137.84602,2
geonames:13156703,city,栄村,36.9876,138.57742,2
geonames:13156704,city,下條村,35.39742,137.78605,2
geonames:13156705,city,南箕輪村,35.87291,137.97503,2
geonames:13156706,city,奈義町,35.12303,134.17743,2
geonames:13156707,city,里庄町,34.5138,133.55687,2
geonames:13156708,city,東秩父村,36.05815,139.19461,2
geonames:13156709,city,鳩山町,35.98146,139.33411,2
geonames:13156710,city,甲良町,35.20411,136.2612,2
geonames:13156711,city,豊郷町,35.20034,136.22989,2
geonames:13156712,city,竜王町,35.0608,136.12453,2
geonames:13156713,city,市貝町,36.5433,140.10204,2
geonames:13156714,city,佐那河内村,33.9931,134.45328,2
geonames:13156715,city,松茂町,34.13377,134.58056,2
geonames:13156735,city,日吉津村,35.44021,133.38079,2
geonames:13156736,city,丹波山村,35.78971,138.92223,2
geonames:13156737,city,小菅村,35.76012,138.94016,2
geonames:13156738,city,昭和町,35.62792,138.53514,2
geonames:13156739,city,南アルプス市,35.60855,138.46473,2
geonames:13192008,ward,秋津町,35.77419,139.49052,2
geonames:13353695,city,中央区,35.67004,139.77544,2
